id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
u9JUNOUqUC0,Nothing Made a Budget Phone (*AGAIN*),"Nothing's cheapest phone yetâ€”but is it actually worth it? ğŸ¤” We put the Phone (3a) Lite through real-world tests to see if that iconic glyph design and Nothing OS magic can justify â‚¹20k, or if the CMF Phone 2 Pro is the smarter buy. The answer might surprise you!

 #Phone3aLite #Nothing

ğŸš€ We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring

ğŸŒŸ Please leave a LIKE â¤ï¸ and SUBSCRIBE For More Videos Like This! ğŸŒŸ

------------------------------------------------------------------------------
 
ğŸŒŸ  Follow Us Other Social Media Platforms ğŸŒŸ 

ğŸ¦ Twitter: https://twitter.com/TechWiser
ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Facebook: https://www.facebook.com/techwiser
ğŸ“· Instagram: https://www.instagram.com/techwiser
ğŸŒ Website: http://techwiser.com
------------------------------------------------------------------------------
 
ğŸŒŸ Team TechWiser ğŸŒŸ 

ğŸ™‹ğŸ»â€â™‚ï¸ Video Producer: https://www.instagram.com/praaatiiik
ğŸ“¹ Channel Manager: https://www.instagram.com/mr_dinesh_ji
ğŸ‘¨ğŸ»â€ğŸ’» Script: https://www.instagram.com/shoubhik_sadhu/ 
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/y_singhal/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/development_enthusiast/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/sathvikpanchumarthy/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/yuv.3gp/

#Tech #Smartphones #TeamTechWiser",2025-11-27T06:43:06Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/u9JUNOUqUC0/default.jpg,https://i.ytimg.com/vi/u9JUNOUqUC0/hqdefault.jpg,PT7M30S,17285,879,131,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
oqzNg4ANVeE,The Most Hyped Value Flagship Of 2025!,"iQOO 15 vs iPhone 17 Pro cameraâ€”can YOU spot the difference? ğŸ“¸ We put this ""performance-focused brand"" through the ultimate test: 7000mAh battery, wireless charging, and the all-new Origin OS 6. But here's the twistâ€”the camera might just shock you. Is this â‚¹65k flagship the game-changer India's been waiting for? Watch till the end. ğŸ”¥

https://TechWiser.oia.bio/iQOO15Amazon
https://TechWiser.oia.bio/iQOO15EStore
#iQOO15 #BeTheGOAT #Snapdragon

ğŸš€ We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring

ğŸŒŸ Please leave a LIKE â¤ï¸ and SUBSCRIBE For More Videos Like This! ğŸŒŸ

------------------------------------------------------------------------------
 
ğŸŒŸ  Follow Us Other Social Media Platforms ğŸŒŸ 

ğŸ¦ Twitter: https://twitter.com/TechWiser
ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Facebook: https://www.facebook.com/techwiser
ğŸ“· Instagram: https://www.instagram.com/techwiser
ğŸŒ Website: http://techwiser.com
------------------------------------------------------------------------------
 
ğŸŒŸ Team TechWiser ğŸŒŸ 

ğŸ™‹ğŸ»â€â™‚ï¸ Video Producer: https://www.instagram.com/praaatiiik
ğŸ“¹ Channel Manager: https://www.instagram.com/mr_dinesh_ji
ğŸ‘¨ğŸ»â€ğŸ’» Script: https://www.instagram.com/shoubhik_sadhu/ 
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/y_singhal/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/development_enthusiast/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/sathvikpanchumarthy/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/yuv.3gp/

#Tech #Smartphones #TeamTechWiser",2025-11-26T09:47:43Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/oqzNg4ANVeE/default.jpg,https://i.ytimg.com/vi/oqzNg4ANVeE/hqdefault.jpg,PT10M8S,27964,1524,246,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
krcTkMDjW8Q,"Finally, A Good All-Rounder Phone! * Moto G57 Power*","Budget phones are changing... but is being ""good at everything"" enough? ğŸ“± The Moto G57 Power packs 7000mAh battery, Snapdragon 6s Gen 4, and promises to be the all-rounder under â‚¹15K. We tested it for weeks to see if it actually delivers or falls into the same trap as others. ğŸ‘€

#MotoG57Power #BeUnstoppable #Motorola

Checkout the G57 Power here:
https://Techwiser.oia.bio/motog57power-flipkart
https://Techwiser.oia.bio/motog57power

ğŸš€ We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring

ğŸŒŸ Please leave a LIKE â¤ï¸ and SUBSCRIBE For More Videos Like This! ğŸŒŸ

------------------------------------------------------------------------------
 
ğŸŒŸ  Follow Us Other Social Media Platforms ğŸŒŸ 

ğŸ¦ Twitter: https://twitter.com/TechWiser
ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Facebook: https://www.facebook.com/techwiser
ğŸ“· Instagram: https://www.instagram.com/techwiser
ğŸŒ Website: http://techwiser.com
------------------------------------------------------------------------------
 
ğŸŒŸ Team TechWiser ğŸŒŸ 

ğŸ™‹ğŸ»â€â™‚ï¸ Video Producer: https://www.instagram.com/praaatiiik
ğŸ“¹ Channel Manager: https://www.instagram.com/mr_dinesh_ji
ğŸ‘¨ğŸ»â€ğŸ’» Script: https://www.instagram.com/shoubhik_sadhu/ 
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/y_singhal/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/development_enthusiast/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/sathvikpanchumarthy/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/yuv.3gp/

#Tech #Smartphones #TeamTechWiser",2025-11-24T07:50:18Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/krcTkMDjW8Q/default.jpg,https://i.ytimg.com/vi/krcTkMDjW8Q/hqdefault.jpg,PT7M15S,39758,1305,1052,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
4qjUDKluVuc,Is the OnePlus 15 an Upgrade or Downgrade?,"We answered your burning questions about the OnePlus 15: heating issues, camera downgrades, and that price hike everyone's talking about. ğŸ”¥ From ceramic coating to lifetime display warranty, here's everything OnePlus won't tell you. Is it really worth the upgrade?

#OnePlus15 #PowerOnLimitsOff

Checkout the phone here:
Amazon: https://www.amazon.in/b?ie=UTF8&ref=nlx_dp_r_B0FTRN7L8Q&node=213262784031

OnePlus: https://www.oneplus.in/oneplus-15?utm_source=pr&utm_medium=kol&utm_campaign=launch",2025-11-23T11:00:10Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/4qjUDKluVuc/default.jpg,https://i.ytimg.com/vi/4qjUDKluVuc/hqdefault.jpg,PT1M47S,221748,10798,245,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
0yjGNRXLpsw,The Smartphone War That Apple is LOSING!,"We put Apple Intelligence and Galaxy AI through brutal real-world tests, and the results shocked us. ğŸ¤¯ From photo editing to live translation, one AI dominated while the other struggled with basic tasks. Is Apple's rushed AI launch their biggest mistake yet?

#GalaxyS25Ultra #Samsung #GalaxyAI #GeminiLiveAI #GoogleGemini #iphone17promax #appleintelligence #siri 

ğŸš€ We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring

ğŸŒŸ Please leave a LIKE â¤ï¸ and SUBSCRIBE For More Videos Like This! ğŸŒŸ

------------------------------------------------------------------------------
 
ğŸŒŸ  Follow Us Other Social Media Platforms ğŸŒŸ 

ğŸ¦ Twitter: https://twitter.com/TechWiser
ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Facebook: https://www.facebook.com/techwiser
ğŸ“· Instagram: https://www.instagram.com/techwiser
ğŸŒ Website: http://techwiser.com
------------------------------------------------------------------------------
 
ğŸŒŸ Team TechWiser ğŸŒŸ 

ğŸ™‹ğŸ»â€â™‚ï¸ Video Producer: https://www.instagram.com/praaatiiik
ğŸ“¹ Channel Manager: https://www.instagram.com/mr_dinesh_ji
ğŸ‘¨ğŸ»â€ğŸ’» Script: https://www.instagram.com/shoubhik_sadhu/ 
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/y_singhal/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/development_enthusiast/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/sathvikpanchumarthy/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/yuv.3gp/

#Tech #Smartphones #TeamTechWiser",2025-11-23T05:00:05Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/0yjGNRXLpsw/default.jpg,https://i.ytimg.com/vi/0yjGNRXLpsw/hqdefault.jpg,PT9M,106901,4062,524,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
kH0oranozCM,Is This Viral Air Purifier A Scam?,"I tested a viral â‚¹3000 DIY air purifier against real ones, and the results exposed a harsh truth about cutting corners with your health. ğŸ’¨ Does this Instagram hack actually work, or should you save up for the real deal? The smoke test reveals everything.

Subscribe to TechWiser for wiser shorts.",2025-11-21T10:46:32Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/kH0oranozCM/default.jpg,https://i.ytimg.com/vi/kH0oranozCM/hqdefault.jpg,PT1M38S,537535,20487,294,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
o2_83cKrnfg,"Forget Apple Store, World's Only Nothing Store!","I visited the World's Only Nothing Store in London and discovered 3 shocking secrets! From their design partnership with Teenage Engineering to Nothing phones being 20-50% cheaper in India than UK. Find out why Indian tech buyers are getting the better deal!

Subscribe to TechWiser for wiser shorts",2025-11-20T12:41:16Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/o2_83cKrnfg/default.jpg,https://i.ytimg.com/vi/o2_83cKrnfg/hqdefault.jpg,PT1M42S,947012,54066,235,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
dgAVoQakGUs,"Is This The Best Midrange Phone At 22,999?","The Lava Agni 4 at â‚¹22,999 packs flagship specs like Dimensity 8350, UFS 4.0, USB-C 3.2, and zero bloatware â€“ things even â‚¹75k phones don't offer! An Indian brand finally making waves globally with the UK launch. Is this the comeback Indian smartphones needed, or just another tall claim?

#FireForMore #AGNI4 #VayuAI #AgniGoesGlobal

Link to be used till 25th Nov 11:59 AM
https://www.amazon.in/b?node=212925427031

Link to be used post 25th Nov 12:00 PM
https://www.amazon.in/dp/B0FT3DXJM3

Chapters:
00:00 Intro & Questions
00:55 Unboxing
01:22 Build Quality: What's new?
02:40 Service & Repair Costs
03:34 Bezel & Display Quality
04:26 Performance & Benchmarks
05:41 Software
07:11 New VayuAI
08:16 Camera
08:58 Conclusion

ğŸš€ We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring

ğŸŒŸ Please leave a LIKE â¤ï¸ and SUBSCRIBE For More Videos Like This! ğŸŒŸ

------------------------------------------------------------------------------
 
ğŸŒŸ  Follow Us Other Social Media Platforms ğŸŒŸ 

ğŸ¦ Twitter: https://twitter.com/TechWiser
ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Facebook: https://www.facebook.com/techwiser
ğŸ“· Instagram: https://www.instagram.com/techwiser
ğŸŒ Website: http://techwiser.com
------------------------------------------------------------------------------
 
ğŸŒŸ Team TechWiser ğŸŒŸ 

ğŸ™‹ğŸ»â€â™‚ï¸ Video Producer: https://www.instagram.com/praaatiiik
ğŸ“¹ Channel Manager: https://www.instagram.com/mr_dinesh_ji
ğŸ‘¨ğŸ»â€ğŸ’» Script: https://www.instagram.com/shoubhik_sadhu/ 
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/y_singhal/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/development_enthusiast/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/sathvikpanchumarthy/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/yuv.3gp/

#Tech #Smartphones #TeamTechWiser",2025-11-20T07:32:01Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/dgAVoQakGUs/default.jpg,https://i.ytimg.com/vi/dgAVoQakGUs/hqdefault.jpg,PT10M4S,114418,4633,491,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
w69MCK8qctk,The Best Premium Smartphone Deal!,"Samsung's Galaxy S24 just got a massive price drop to â‚¹40,999, and it's outperforming even the iPhone 17 in video editing! With 120 FPS gaming, AI features ahead of 2025 flagships, and triple camera setup, this could be your best bet during Black Friday. Don't miss the S25+ and S25 Edge deals either!

This video is made in #collab with Samsung

This is the Black Friday sale on Flipkart and Cyber Monday sale on Amazon.
#SamsungBlackFridayDeals #SamsungCyberMondayDeals
#GalaxyA55
#GalaxyM17
#GalaxyS24
#GalaxyS25Plus
#GalaxyS25Edge
#GalaxyM36
#GalaxyF36
#withGalaxy",2025-11-19T14:15:29Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/w69MCK8qctk/default.jpg,https://i.ytimg.com/vi/w69MCK8qctk/hqdefault.jpg,PT1M50S,237406,11741,192,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
dG4PndB-LY0,The Rise of New Flagships in India!,"The flagship game in India is changing! We deep dive into the revolutionary OPPO Find X9 Pro and compact Find X9, showcasing the 200MP Hasselblad Telephoto, massive battery life, and powerful MTK D9500 performance. Is this the end of the ""legacy flagship"" era? Watch to find out!

Checkout the phone here:
https://www.flipkart.com/oppo-findx9series-coming-soon-store?ocmpid=BrandAd_OPPO_FindX9_PR_
http://amazon.in/b?node=212339144031&ref_=WLSM_OPPOFindX9_PR_

#OPPOFindX9Series #AIFlagshipCamera #OPPOColorOS16 #SmoothandSmart

Chapters:
00:00 Flagships are Changing!
00:22 Rise of OPPO
01:07 Unboxing
01:33 Design & Build Quality
02:33 Battery & Charging
03:22 Display
04:25 Software
05:59 Performance
07:15 Finally Camera!
08:44 Hasselblad Teleconverter Lens
09:40 OPPO Find X9
12:08 Conclusion

ğŸš€ We Are Hiring! APPLY HERE: https://techwiser.com/we-are-hiring

ğŸŒŸ Please leave a LIKE â¤ï¸ and SUBSCRIBE For More Videos Like This! ğŸŒŸ

------------------------------------------------------------------------------
 
ğŸŒŸ  Follow Us Other Social Media Platforms ğŸŒŸ 

ğŸ¦ Twitter: https://twitter.com/TechWiser
ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Facebook: https://www.facebook.com/techwiser
ğŸ“· Instagram: https://www.instagram.com/techwiser
ğŸŒ Website: http://techwiser.com
------------------------------------------------------------------------------
 
ğŸŒŸ Team TechWiser ğŸŒŸ 

ğŸ™‹ğŸ»â€â™‚ï¸ Video Producer: https://www.instagram.com/praaatiiik
ğŸ“¹ Channel Manager: https://www.instagram.com/mr_dinesh_ji
ğŸ‘¨ğŸ»â€ğŸ’» Script: https://www.instagram.com/shoubhik_sadhu/ 
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/y_singhal/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/development_enthusiast/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/sathvikpanchumarthy/
ğŸ‘¨ğŸ»â€ğŸ’» Video Editor: https://www.instagram.com/yuv.3gp/

#Tech #Smartphones #TeamTechWiser",2025-11-18T14:28:26Z,TechWiser,28,en,en-GB,https://i.ytimg.com/vi/dG4PndB-LY0/default.jpg,https://i.ytimg.com/vi/dG4PndB-LY0/hqdefault.jpg,PT13M18S,111970,2662,473,public,UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links.Â 

",IN,https://yt3.ggpht.com/CqJpQN1SJM9sLiT-bXiS5NFJf-gXhy7CBX2ft-gY1lSr84BR1knBzA7MwS0wtQDwhkwMVmxgAA=s88-c-k-c0x00ffffff-no-rj,2450000,1660
